project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,5,0,0.0,false,168,4,0.001799280147061243,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/quota/package-info.java,clients/src/main/java/org/apache/kafka/common/quota/package-info.java,org.apache.kafka.common.quota,quota,50111,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.25,false,PACKAGE,0,6,1.0,false,243,4,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.record,record,17366,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.12101910828025478,false,PACKAGE,18,38,0.6090373280943026,false,49449,162,0.00437628464541835,0,PACKAGE,.,.,org.apache.kafka.streams.processor.internals,internals,17444,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.10526315789473684,false,PACKAGE,2,1,0.05555555555555555,false,2224,19,0.001412809267543473,0,PACKAGE,.,.,org.apache.kafka.timeline,timeline,50246,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.027972027972027972,false,PACKAGE,34,23,0.6379310344827587,false,15594,144,0.005275874064105889,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/clients/admin/package-info.java,clients/src/main/java/org/apache/kafka/clients/admin/package-info.java,org.apache.kafka.clients.admin,admin,25696,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,4,1.0,false,241,1,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.streams.tools,tools,25704,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,1,14,0.9764705882352941,false,3438,20,0.0010070147495886469,0,PACKAGE,.,.,org.apache.kafka.streams.tests,tests,25733,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.23333333333333334,false,PACKAGE,137,9,0.010714285714285714,false,1857,52,0.11226648725152862,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/package-info.java,clients/src/main/java/org/apache/kafka/common/package-info.java,org.apache.kafka.common,common,58722,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.09210526315789473,false,PACKAGE,126,12,0.023952095808383235,false,8004,77,0.06793237262864717,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/utils/package-info.java,clients/src/main/java/org/apache/kafka/common/utils/package-info.java,org.apache.kafka.common.utils,utils,58867,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,16,9,0.32142857142857145,false,564,14,0.016182257276518838,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/security/package-info.java,clients/src/main/java/org/apache/kafka/common/security/package-info.java,org.apache.kafka.common.security,security,58916,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,7,3,0.10526315789473684,false,96,5,0.011644264647821841,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/security/scram/package-info.java,clients/src/main/java/org/apache/kafka/common/security/scram/package-info.java,org.apache.kafka.common.security.scram,scram,59001,container
