,File,Frequency,lines_modified
1551,InternalStreamsBuilderTest.java,29,1383
1555,TaskManager.java,186,9867
1558,TaskManagerTest.java,116,10203
1567,SaslServerAuthenticatorTest.java,22,659
1572,ChangeLoggingWindowBytesStore.java,26,409
1575,MeteredWindowStoreTest.java,41,1436
1576,AssignedTasks.java,39,1774
1578,RestoreIntegrationTest.java,42,1138
1582,Agent.java,15,843
1590,CoordinatorClient.java,12,831
1592,NodeManager.java,10,943
1611,JsonRestServer.java,9,406
1613,AgentTest.java,13,904
1617,MiniTrogdorCluster.java,10,410
1620,MeteredSessionStore.java,41,1363
1621,ChangeLoggingSessionBytesStoreTest.java,16,614
1622,MeteredSessionStoreTest.java,32,1284
1623,ChangeLoggingWindowBytesStoreTest.java,19,557
1638,DescribeLogDirsResponse.java,15,501
1675,Materialized.java,13,342
1692,DefaultKafkaPrincipalBuilderTest.java,13,442
1700,GroupedStreamAggregateBuilder.java,22,379
1709,CreatePartitionsRequest.java,10,540
1711,SessionWindowedKStream.java,19,1322
1712,TimeWindowedKStream.java,26,1153
1713,SessionWindowedKStreamImpl.java,19,674
1714,TimeWindowedKStreamImpl.java,28,673
1715,SessionWindowedKStreamImplTest.java,28,1098
1716,TimeWindowedKStreamImplTest.java,25,1125
1723,ConnectMetrics.java,16,811
1724,ConnectMetricsTest.java,15,409
1740,AbstractResetIntegrationTest.java,38,2315
1748,ConnectMetricsRegistry.java,9,492
1752,ClusterConnectionStatesTest.java,20,735
1759,WorkerManager.java,10,907
1796,AssignedStreamsTasks.java,20,1598
1797,AssignedStreamsTasksTest.java,20,1469
1811,ProduceBenchWorker.java,16,775
1815,StreamsResetterTest.java,12,511
1816,MockAdminClient.java,53,1752
1825,PurgeRepartitionTopicIntegrationTest.java,13,378
1826,WorkerUtils.java,12,563
1830,RoundTripWorker.java,15,658
1833,KTableSourceTopicRestartIntegrationTest.java,22,530
1840,AbstractJoinIntegrationTest.java,23,748
1841,StreamStreamJoinIntegrationTest.java,14,1223
1842,TableTableJoinIntegrationTest.java,9,1613
1853,DescribeDelegationTokenResponse.java,9,441
1872,TopologyTestDriver.java,111,3030
1873,ConsumerRecordFactory.java,9,1216
